F1-known,F1-open,F1,Acc,dataset,method,known_cls_ratio,labeled_ratio,seed
79.1086,60.3115,78.79,73.99,banking,ADB,0.75,0.2,1
45.03100000000001,32.7647,44.4177,36.49,banking,DeepUnk,0.25,0.2,0
54.4998,52.3839,54.394,49.03,banking,DeepUnk,0.25,0.4,0
54.856,58.2431,55.0253,53.34,banking,DeepUnk,0.25,0.6,0
83.834,64.9838,83.5145,78.8,banking,ADB,0.75,0.4,1
57.4473,59.3367,57.5418,54.29,banking,DeepUnk,0.25,0.8,0
82.4087,58.7544,82.1993,74.02,oos,MSP,0.75,1.0,1
40.0696,18.9696,36.5529,29.9,stackoverflow,MSP,0.25,0.2,1
63.8451,72.7126,64.2885,66.07,banking,DeepUnk,0.25,1.0,0
63.155,24.5671,62.1656,48.77,banking,DeepUnk,0.5,0.2,0
41.8204,14.9877,37.3483,28.6,stackoverflow,MSP,0.25,0.4,1
43.6808,18.335,39.4565,30.08,stackoverflow,MSP,0.25,0.6,1
84.5649,62.8453,84.1967,79.03,banking,ADB,0.75,0.6,1
68.6307,42.9672,67.9726,57.63,banking,DeepUnk,0.5,0.4,0
43.2355,17.233,38.9017,29.78,stackoverflow,MSP,0.25,0.8,1
70.9304,47.2625,70.3235,59.94,banking,DeepUnk,0.5,0.6,0
42.7829,13.5124,37.9045,28.28,stackoverflow,MSP,0.25,1.0,1
69.5433,41.5847,67.0016,56.78,stackoverflow,MSP,0.5,0.2,1
73.3249,57.0806,72.9084,64.94,banking,DeepUnk,0.5,0.8,0
85.8505,65.3713,85.5034,80.62,banking,ADB,0.75,0.8,1
67.6193,36.4589,64.7865,55.22,stackoverflow,MSP,0.5,0.4,1
72.3994,54.4651,71.9395,63.51,banking,DeepUnk,0.5,1.0,0
75.866,27.6704,75.0492,67.31,banking,DeepUnk,0.75,0.2,0
67.0068,30.9713,63.7308,53.78,stackoverflow,MSP,0.5,0.6,1
86.5059,66.0652,86.1594,81.3,banking,ADB,0.75,1.0,1
